merchant,amount,category
LTT to Place 2 (Patna Exp) cancellation,403.0,Transportation
Nokia 215 mobile for Aai,3195.0,Shopping
Monaco biscuits,10.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
farewell contribution,285.0,Shopping
Place 5 to Place 1 sevagram,11.8,Transportation
LTT to Place 2 cancellation,251.8,Transportation
Place 2 to Place 1 - Novelty tour and travels,1900.0,Transportation
2 dabeli,30.0,Food & Dining
sensitive toothbrush,49.0,Shopping
chips 1 Kurkure (19) 1 lays (10),29.0,Food & Dining
1 kg mosambi 1 kg apple,170.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
nan,200.0,Food & Dining
oralB toothbrush with cap,25.0,Shopping
farewell contribution,350.0,Shopping
Doctor Fees,200.0,Healthcare
eye drop maxmoist,257.0,Healthcare
chocobar,30.0,Food & Dining
nan,1000.0,Income
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
cheese cubes(2),30.0,Food & Dining
nan,1000.0,Income
gilke,25.0,Food & Dining
kadhipatta + 2 lemon,10.0,Food & Dining
kandyachi paat,8.0,Food & Dining
tomato,30.0,Food & Dining
onion 1 kg,25.0,Food & Dining
val + methi + lady finger,50.0,Food & Dining
carrets + brinjal + flower,90.0,Food & Dining
3 chips packets,15.0,Food & Dining
pav bhaji pav 3 packets (8pcs each),45.0,Food & Dining
8 bananas,20.0,Food & Dining
Colgate max fresh medium,55.0,Food & Dining
2 milkybar,20.0,Food & Dining
nan,10000.0,Income
From workplace,56586.0,Income
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
mobile recharge sim 2,98.0,Bills & Utilities
Metz 32 inch TV,20500.0,Shopping
mava 1 large,20.0,Food & Dining
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
within city,50.0,Transportation
strepsils,15.0,Healthcare
within city,70.0,Transportation
Locality V to Permanent Residence,50.0,Transportation
poppins,2.0,Food & Dining
"3 parathe , 1 Hara bhara kabab, 1 rabdi malai, 1 masala papad, 1 pepsi",1087.0,Food & Dining
within city,50.0,Transportation
two water bottles,40.0,Food & Dining
ola auto - BRC,40.0,Transportation
Place T to brc,94.0,Transportation
share jeep - Place T top to base (50/person),100.0,Transportation
lemon juice ( 20/person),40.0,Food & Dining
ropeway Place T to and fro (169/person),338.0,Transportation
share jeep - Place T base to top (50/person),100.0,Transportation
share auto - Place H to Place T base (20/person),40.0,Transportation
bus - brc to Place H ( 27/person),54.0,Transportation
within city,80.0,Transportation
single pav vada,10.0,Food & Dining
lemons,20.0,Food & Dining
apple + mosambi 1kg each,180.0,Food & Dining
Veer Travels - BRC to Place 2 ( 2 Adults),1800.0,Transportation
Kabra Travels - Place 2 to BRC (2 Adults),4662.0,Transportation
mouth fresh,55.0,Healthcare
Bombay vada pav,10.0,Food & Dining
Permanent Residence to Bandhu prem,40.0,Transportation
1 month subscription,199.0,Bills & Utilities
ice cream,45.0,Food & Dining
Permanent Residence to hospital,30.0,Transportation
butter + frozen vatana+ 9 pan,240.0,Food & Dining
medicine,700.0,Healthcare
mosambi 1kg,50.0,Food & Dining
nan,10000.0,Income
From workplace,56647.0,Income
syrup+tablet+ mortein refill,221.0,Healthcare
Permanent Residence to pathology,40.0,Transportation
nan,251.0,Bills & Utilities
mehndi,25.0,Food & Dining
apple + mosambi 1kg each,170.0,Food & Dining
nan,617.0,Healthcare
egg roll,25.0,Food & Dining
popcorn+mehndi+mosambi+orange+all out refill,320.0,Food & Dining
Khari,35.0,Food & Dining
pav vada,20.0,Food & Dining
butter + paneer + pav+batate+tamate,215.0,Food & Dining
nan,430.0,Food & Dining
sugar + biscuits,120.0,Food & Dining
coconut,150.0,Food & Dining
apple half kg+ mixer repair+flowers,100.0,Food & Dining
nan,40.0,Healthcare
Permanent Residence to hospital to n fro,80.0,Transportation
mosambi 1kg+ gavar pav kilo+lemon 3 + kothimbir,90.0,Food & Dining
razor,174.0,Shopping
1 month subscription,199.0,Bills & Utilities
nan,10000.0,Income
interest paid,835.0,Income
From workplace,58058.0,Income
nan,33.0,Food & Dining
chocobar+milk+chips,95.0,Food & Dining
nan,251.0,Bills & Utilities
brownie,70.0,Food & Dining
riverdine date,845.0,Food & Dining
bread,35.0,Food & Dining
half liter buffalo,35.0,Food & Dining
vanilla ice cream cups 2,20.0,Food & Dining
badishop,70.0,Food & Dining
half liter buffalo,35.0,Food & Dining
meghdoot to plaza,20.0,Transportation
1lit buffalo milk,70.0,Food & Dining
cold coffee,30.0,Food & Dining
bread,20.0,Food & Dining
nan,251.0,Bills & Utilities
1 dozen,72.0,Food & Dining
Place 6 to Place 2,598.5,Transportation
Place 2 to mum,750.0,Transportation
nan,251.0,Bills & Utilities
nan,10000.0,Income
From workplace,63894.0,Income
boric powder,40.0,Shopping
lizol,98.0,Shopping
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,15000.0,Income
From workplace,51556.0,Income
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
Mobile Service Provider recharge 365 days,2599.0,Bills & Utilities
citrizen + crocine,10.0,Healthcare
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,15000.0,Income
interest paid,740.0,Income
From workplace,51544.0,Income
Chalisgaon to Baroda return,3200.0,Transportation
nan,251.0,Bills & Utilities
Amazon prime subscription,995.0,Bills & Utilities
Mobile Service Provider sim card porting,350.0,Bills & Utilities
icecream,140.0,Food & Dining
grocery,600.0,Food & Dining
nan,84.0,Food & Dining
nan,251.0,Bills & Utilities
biscuits + medicine,68.0,Food & Dining
nan,10000.0,Income
1 Jar,25.0,Food & Dining
From workplace,51556.0,Income
Permanent Residence to LB road,50.0,Transportation
nan,251.0,Bills & Utilities
sanitary napkins+chocolates+Maggie+khajoor,504.0,Food & Dining
Permanent Residence to nearby hospital,40.0,Transportation
agarbatti + icecream pack,180.0,Food & Dining
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,10000.0,Income
From workplace,51562.45,Income
subscription,299.0,Bills & Utilities
dettol handwash + khari + toast + goodday,259.0,Food & Dining
kindle unlimited,169.0,Bills & Utilities
nan,251.0,Bills & Utilities
sensodyne toothbrush,50.0,Shopping
nan,251.0,Bills & Utilities
nan,251.0,Bills & Utilities
nan,1279.0,Food & Dining
subscription 1 yr,300.0,Bills & Utilities
nan,251.0,Bills & Utilities
rasna orange,20.0,Food & Dining
LB road to Permanent Residence,50.0,Transportation
nan,10000.0,Income
From workplace,70806.0,Income
kindle unlimited,169.0,Bills & Utilities
nan,251.0,Bills & Utilities
sambhar masala,35.0,Food & Dining
Ganesh murthi,80.0,Shopping
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
cheese cubes(2)+ neutralite butter,60.0,Food & Dining
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
biscuits,70.0,Food & Dining
pedhe,100.0,Food & Dining
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
pedhe,50.0,Food & Dining
nan,10000.0,Income
From workplace,49806.0,Income
audible subscription,199.0,Bills & Utilities
5star (2)+munch(2),40.0,Food & Dining
kindle unlimited,169.0,Bills & Utilities
biscuits,85.0,Food & Dining
bread (10)+Cadbury(10)+ cheese + myvaneese+pav bhaji masala,165.0,Food & Dining
within city,40.0,Transportation
hand gloves 4 pairs,80.0,Healthcare
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
nan,160.0,Food & Dining
nan,10000.0,Income
From workplace,49806.0,Income
audible subscription,199.0,Bills & Utilities
kindle unlimited,169.0,Bills & Utilities
slippers,200.0,Shopping
chalk for ants,15.0,Shopping
Mobile Service Provider recharge wfh,251.0,Bills & Utilities
cake,350.0,Food & Dining
grandparents to Permanent Residence,30.0,Transportation
Everest pav bhaji masala,35.0,Food & Dining
nan,10000.0,Income
Amul butter 100gm(4 pcs),192.0,Food & Dining
cake + balloon (150)+caps(50+40),540.0,Food & Dining
From workplace,77335.0,Income
cake advance,100.0,Food & Dining
hair cut+shaving+dye+facial,2000.0,Shopping
sliper,270.0,Shopping
dustbin bags,50.0,Shopping
secret Santa - diary,465.0,Shopping
nan,80.0,Food & Dining
hand sanitizer,220.0,Healthcare
eye drop maxmoist,235.0,Healthcare
within city,50.0,Transportation
station to Permanent Residence,100.0,Transportation
nan,1000.0,Income
nan,1000.0,Income
Cadbury 2 + chips 2,90.0,Food & Dining
Kolhapuri chappal,325.0,Shopping
roadstar black fishermen sandals,773.0,Shopping
nan,84.0,Food & Dining
nan,50000.0,Income
to Family,1024.0,Shopping
From workplace,49806.0,Income
nan,50.0,Transportation
nan,30.0,Transportation
nan,40.0,Transportation
egg roll,25.0,Food & Dining
1 dozen,84.0,Food & Dining
egg roll,25.0,Food & Dining
nan,1000.0,Income
nan,1000.0,Income
12 eggs,84.0,Food & Dining
Permanent Residence to nearby  hospital,40.0,Transportation
nan,10000.0,Income
Locality V to Permanent Residence,70.0,Transportation
water bottle + khari sing,70.0,Food & Dining
b45 to Pandya bridge,71.0,Transportation
nan,10.0,Food & Dining
From workplace,49806.0,Income
sweats,250.0,Food & Dining
face mask,150.0,Healthcare
golden circle to b45,180.0,Transportation
hair cut,50.0,Shopping
Permanent Residence to kacheri,30.0,Transportation
redbus - brc to Place 2,665.0,Transportation
to Family,1000.0,Shopping
Place 2 to brc travels,660.0,Transportation
Sapat Parivar Tea half kg,240.0,Shopping
plumber,100.0,Shopping
mandir to hospital,20.0,Transportation
belt + socs,1479.0,Shopping
Ola - Place 1 to Place 5 to and fro,803.0,Transportation
nan,2000.0,Income
nan,1000.0,Income
kindle + gift wrap,8029.0,Shopping
nan,1000.0,Income
cold coffee,420.0,Food & Dining
From workplace,49806.0,Income
6 pairs of use and throw gloves,120.0,Healthcare
2 n95 masks,300.0,Healthcare
chicken lollypop + biryani,379.0,Food & Dining
nan,1000.0,Income
nan,1000.0,Income
From workplace,49806.0,Income
nan,10000.0,Income
mixer Philips 7756,3499.0,Shopping
nan,1000.0,Income
nan,1000.0,Income
nan,10000.0,Income
nan,2500.0,Bills & Utilities
From workplace,47859.0,Income
nan,1000.0,Income
nan,1000.0,Income
nan,2833.0,Bills & Utilities
nan,10000.0,Income
From workplace,47859.0,Income
nan,1000.0,Income
nan,1000.0,Income
nan,2543.0,Bills & Utilities
electricity bill,2671.0,Shopping
From workplace,47859.0,Income
nan,10000.0,Income
BR to mumbai,6000.0,Transportation
bananas 1 kg,20.0,Food & Dining
milk half shakti,26.0,Food & Dining
milk half shakti,26.0,Food & Dining
N95 mask,250.0,Healthcare
milk half shakti,26.0,Food & Dining
milk half shakti,26.0,Food & Dining
nan,1000.0,Income
onions,20.0,Food & Dining
milk half shakti,26.0,Food & Dining
sensodyne rapid fire,160.0,Shopping
hand sanitizer + surgical gloves,290.0,Healthcare
milk half shakti,52.0,Food & Dining
gobi,20.0,Food & Dining
milk half shakti,26.0,Food & Dining
Limcee+,70.0,Healthcare
nan,1000.0,Income
methi + palak,100.0,Food & Dining
milk half shakti,26.0,Food & Dining
nan,1178.0,Food & Dining
nan,10000.0,Income
milk half shakti,28.0,Food & Dining
dahi,20.0,Food & Dining
From workplace,49306.0,Income
milk half gold,28.0,Food & Dining
eggs + bread,110.0,Food & Dining
srikhand,114.0,Food & Dining
snacks + veggie,420.0,Food & Dining
milk half gold,56.0,Food & Dining
snacks,324.0,Food & Dining
nan,1000.0,Income
nan,699.0,Food & Dining
nan,156.0,Food & Dining
nan,1000.0,Income
nan,10000.0,Income
nan,287.0,Food & Dining
nan,889.0,Food & Dining
toothbrush + biscuits,50.0,Food & Dining
From workplace,70806.0,Income
kala hit,269.0,Healthcare
nan,150.0,Food & Dining
nan,20.0,Bills & Utilities
nan,26.0,Food & Dining
nan,433.8,Food & Dining
refilling,20.0,Bills & Utilities
dry cleaning,100.0,Shopping
dentist check-up,3700.0,Healthcare
cooker ring,50.0,Shopping
samosa+tea+veg cheese grill sandwich,53.0,Food & Dining
dal fry and chapati,25.0,Food & Dining
aloo paratha,20.0,Food & Dining
nan,26.0,Food & Dining
dentist check-up,1000.0,Healthcare
nan,20.0,Food & Dining
altering,30.0,Shopping
shakti + bread,36.0,Food & Dining
ironing,40.0,Shopping
nan,26.0,Food & Dining
to office,10.0,Transportation
root canal due,1900.0,Healthcare
nan,30.0,Food & Dining
nan,1000.0,Income
nan,8.0,Food & Dining
train - ddr to brc cancellation charges,11.8,Transportation
train - brc to ddr cancellation charges,11.8,Transportation
Place 0 to Bandra,20.0,Transportation
Current Residence to Place 0,10.0,Transportation
Bandra to Bandra terminus,20.0,Transportation
nan,1000.0,Income
B45 to brc,10.0,Transportation
orange juice,25.0,Food & Dining
to office,10.0,Transportation
nan,40.0,Shopping
mosambi juice,25.0,Food & Dining
water jar,108.0,Bills & Utilities
painkillers,82.0,Healthcare
root canal advance,3000.0,Healthcare
nan,30.0,Food & Dining
nan,10000.0,Income
nan,2833.0,Bills & Utilities
painkillers,226.0,Healthcare
dentist check-up,300.0,Healthcare
canteen lunch,25.0,Food & Dining
to office,10.0,Transportation
2 uttapam,40.0,Food & Dining
bananas,20.0,Food & Dining
At restaurant,80.0,Food & Dining
chicken manchow soup,88.0,Food & Dining
nan,6.0,Food & Dining
From workplace,49806.0,Income
nan,26.0,Food & Dining
chicken thali,55.0,Food & Dining
nan,20.0,Food & Dining
nan,6.0,Food & Dining
office to vasna road,60.0,Transportation
eggs,30.0,Food & Dining
nan,26.0,Food & Dining
vegetable,160.0,Food & Dining
ola auto - BRC to b45,66.0,Transportation
nan,10.0,Food & Dining
Bandra to Bandra terminus,20.0,Transportation
Place 0 to Bandra,20.0,Transportation
shoe polish,20.0,Shopping
to and fro Mum to BRC,526.0,Transportation
face mask,45.0,Healthcare
koflet,34.0,Healthcare
milk 1lit,60.0,Food & Dining
dinner,227.0,Food & Dining
kaju katli 250gm,249.0,Food & Dining
local - Place 0 to Place 5 return,30.0,Transportation
mixer repair,250.0,Shopping
pani puri,20.0,Food & Dining
local - vadala road to Place 0,15.0,Transportation
taxi - dadar to vadala road,34.0,Transportation
tea,20.0,Food & Dining
bread,15.0,Food & Dining
chana chat + tea,21.0,Food & Dining
milk half shakti,27.0,Food & Dining
Kurkure,10.0,Food & Dining
tea,12.0,Food & Dining
tea,10.0,Food & Dining
paneer 150 gm,54.0,Food & Dining
bread pakoda + tea,26.0,Food & Dining
grocery,60.0,Food & Dining
tea + kachuri,18.0,Food & Dining
tea,6.0,Food & Dining
paneer,35.0,Food & Dining
farsan + khari sing,150.0,Food & Dining
train - brc to mmct,176.0,Transportation
egg fried rice,86.0,Food & Dining
tea + biscuits,30.0,Food & Dining
tea,6.0,Food & Dining
water jar,375.0,Food & Dining
bhel,40.0,Food & Dining
snacks,21.0,Food & Dining
grocery,1178.0,Food & Dining
tea,30.0,Food & Dining
milk half shakti,26.0,Food & Dining
12 eggs,70.0,Food & Dining
tea,10.0,Food & Dining
grocery,107.0,Food & Dining
chana chat + kachori,27.0,Food & Dining
milk half shakti,26.0,Food & Dining
5 eggs,30.0,Food & Dining
milk half shakti,26.0,Food & Dining
electricity bill,784.0,Shopping
undergarments,248.0,Shopping
bananas,20.0,Food & Dining
bhindi,40.0,Food & Dining
auto - Genda circle to b45,100.0,Transportation
dinner treat,1004.0,Food & Dining
milk half shakti,26.0,Food & Dining
good day biscuits,38.0,Food & Dining
samosa,15.0,Food & Dining
chana chat,15.0,Food & Dining
tea,30.0,Food & Dining
milk half shakti,26.0,Food & Dining
paav,30.0,Food & Dining
grocery,311.0,Food & Dining
hair cut,60.0,Shopping
tea,30.0,Food & Dining
tea,20.0,Food & Dining
snacks,33.0,Food & Dining
grocery,120.0,Food & Dining
broom,60.0,Shopping
samosa + 2 tea,27.0,Food & Dining
train - bdts to brc,264.0,Transportation
train - brc to mmct,138.0,Transportation
milk half gold,28.0,Food & Dining
shev,50.0,Food & Dining
srikhand,65.0,Food & Dining
milk half gold,29.0,Food & Dining
vegetable,60.0,Food & Dining
tea,8.0,Food & Dining
milk half gold,29.0,Food & Dining
auto - GTR to hospital,30.0,Transportation
auto - Alk to GTR,50.0,Transportation
auto -  to race course,10.0,Transportation
Ratri Bazar,155.0,Food & Dining
auto - Amit nagar to b45,100.0,Transportation
tea,10.0,Food & Dining
3 bananas,13.0,Food & Dining
Lunch - chicken fried rice + chicken soup,120.0,Food & Dining
travels - Mumbai to brc,760.0,Transportation
tea,10.0,Food & Dining
bus - Chinchwad to kala,175.0,Transportation
ola auto - to Chinchwad transport bus stop,61.0,Transportation
shaving,50.0,Shopping
ola auto - wakad to GG skies,170.0,Transportation
auto -hospital to bridge,50.0,Transportation
travels - brc to pune,650.0,Transportation
tea,20.0,Food & Dining
sprout chat,20.0,Food & Dining
tea+ bourbon,20.0,Food & Dining
sprout chat+tea+guava drink,31.0,Food & Dining
sprout chat,15.0,Food & Dining
tea,15.0,Food & Dining
dinner,135.0,Food & Dining
shev,35.0,Food & Dining
tea,20.0,Food & Dining
rice,175.0,Food & Dining
water jar,350.0,Food & Dining
milk half gold + 2 packs bourbon biscuits,49.0,Food & Dining
grocery,66.0,Food & Dining
4 eggs,28.0,Food & Dining
tea,10.0,Food & Dining
bendys chicken biryani,400.0,Food & Dining
share jeep - Place T top to base,20.0,Transportation
share jeep - Place T to brc,60.0,Transportation
monument,40.0,Entertainment
Temple Prasad,200.0,Food & Dining
ropeway Place T to and fro,142.0,Transportation
share jeep - Place T base to top,20.0,Transportation
share auto - Place H to Place T base,20.0,Transportation
bus - brc to Place H,30.0,Transportation
tea,10.0,Food & Dining
share auto - hospital to brc station,10.0,Transportation
